plant.id,species,blooming,year,cover,richness,perennials
241,Cylindropuntia acanthocarpa,pre,2017,0,0.142857143,
235,Cylindropuntia acanthocarpa,pre,2017,0,0.111111111,
234,Cylindropuntia acanthocarpa,pre,2017,-0.666666667,0,
217,Cylindropuntia acanthocarpa,pre,2017,-0.666666667,0.25,
203,Cylindropuntia acanthocarpa,pre,2017,-0.333333333,0.090909091,
204,Cylindropuntia acanthocarpa,pre,2017,0.428571429,0,
249,Cylindropuntia acanthocarpa,pre,2017,0.666666667,0,
238,Cylindropuntia acanthocarpa,pre,2017,0.891891892,0,1
214,Cylindropuntia acanthocarpa,pre,2017,0,0,
215,Cylindropuntia acanthocarpa,pre,2017,0.818181818,0.272727273,
202,Cylindropuntia acanthocarpa,pre,2017,0.960784314,0.272727273,1
201,Cylindropuntia acanthocarpa,pre,2017,0.777777778,0,1
259,Cylindropuntia acanthocarpa,pre,2017,0.666666667,-0.111111111,
245,Cylindropuntia acanthocarpa,pre,2017,0.666666667,0,-1
242,Cylindropuntia acanthocarpa,pre,2017,0.714285714,0.2,
236,Cylindropuntia acanthocarpa,pre,2017,0,0.090909091,
231,Cylindropuntia acanthocarpa,pre,2017,0,-0.090909091,
207,Cylindropuntia acanthocarpa,pre,2017,0.875,0.333333333,-1
237,Cylindropuntia acanthocarpa,pre,2017,0.764705882,0,1
227,Cylindropuntia acanthocarpa,pre,2017,0.923076923,0.333333333,1
220,Cylindropuntia acanthocarpa,pre,2017,0.111111111,0,
223,Cylindropuntia acanthocarpa,pre,2017,-0.333333333,-0.090909091,
222,Cylindropuntia acanthocarpa,pre,2017,-0.142857143,0.111111111,
211,Cylindropuntia acanthocarpa,pre,2017,0.904761905,0.090909091,1
276,Cylindropuntia acanthocarpa,pre,2017,0.428571429,0.166666667,
269,Cylindropuntia acanthocarpa,pre,2017,0.692307692,0,
262,Cylindropuntia acanthocarpa,pre,2017,0.555555556,0.333333333,
186,Cylindropuntia acanthocarpa,pre,2017,0.428571429,-0.090909091,
199,Cylindropuntia acanthocarpa,pre,2017,0.157894737,-0.272727273,
300,Cylindropuntia acanthocarpa,pre,2017,0.851851852,-0.166666667,
258,Cylindropuntia acanthocarpa,pre,2017,0.8,0,1
246,Cylindropuntia acanthocarpa,pre,2017,0.6,-0.111111111,
232,Cylindropuntia acanthocarpa,pre,2017,0.5,0,1
225,Cylindropuntia acanthocarpa,pre,2017,0.333333333,-0.2,
221,Cylindropuntia acanthocarpa,pre,2017,0.2,-0.4,
219,Cylindropuntia acanthocarpa,pre,2017,0.481481481,0,
205,Cylindropuntia acanthocarpa,pre,2017,0,0.166666667,
209,Cylindropuntia acanthocarpa,pre,2017,0.2,0.111111111,
240,Cylindropuntia acanthocarpa,pre,2017,0.6,0.333333333,1
243,Cylindropuntia acanthocarpa,pre,2017,-0.5,0,
255,Cylindropuntia acanthocarpa,pre,2017,0.818181818,-0.142857143,1
256,Cylindropuntia acanthocarpa,pre,2017,0.666666667,-0.111111111,
218,Cylindropuntia acanthocarpa,pre,2017,0.2,0.230769231,
216,Cylindropuntia acanthocarpa,pre,2017,0.777777778,0.2,1
226,Cylindropuntia acanthocarpa,pre,2017,0.764705882,0.2,
252,Cylindropuntia acanthocarpa,pre,2017,0.333333333,0.5,
254,Cylindropuntia acanthocarpa,pre,2017,0.818181818,0.2,
257,Cylindropuntia acanthocarpa,pre,2017,0.666666667,0.166666667,-1
260,Cylindropuntia acanthocarpa,pre,2017,0.2,0.076923077,
250,Cylindropuntia acanthocarpa,pre,2017,0.5,0.111111111,
247,Cylindropuntia acanthocarpa,pre,2017,0.333333333,0,1
229,Cylindropuntia acanthocarpa,pre,2017,-0.5,0.090909091,
228,Cylindropuntia acanthocarpa,pre,2017,0.5,0,
212,Cylindropuntia acanthocarpa,pre,2017,0.2,0,
206,Cylindropuntia acanthocarpa,pre,2017,0.333333333,0.2,
210,Cylindropuntia acanthocarpa,pre,2017,0.777777778,0.333333333,
224,Cylindropuntia acanthocarpa,pre,2017,0.904761905,0,
233,Cylindropuntia acanthocarpa,pre,2017,0.960784314,0.428571429,
240,Cylindropuntia acanthocarpa,pre,2017,0,0,
251,Cylindropuntia acanthocarpa,pre,2017,0.818181818,0.2,
1,Cylindropuntia acanthocarpa,post,2017,-0.333333333,0.6,
2,Cylindropuntia acanthocarpa,post,2017,0.904761905,0,
3,Cylindropuntia acanthocarpa,post,2017,-0.25,-0.2,
4,Cylindropuntia acanthocarpa,post,2017,0,-0.2,
5,Cylindropuntia acanthocarpa,post,2017,0.333333333,0,
6,Cylindropuntia acanthocarpa,post,2017,1,1,
