year,Region,Site,Rep,Microsite,D1,D2,H,abundance,richness
2016,Mojave,2.5,1,Shrub,1.5,1.4,1.2,16,3
2016,Mojave,2.5,1,Open,,,,15,4
2016,Mojave,2.5,2,Shrub,3.5,2.5,1.5,18,3
2016,Mojave,2.5,2,Open,,,,6,3
2016,Mojave,2.5,3,Shrub,1.8,1.7,1.3,11,4
2016,Mojave,2.5,3,Open,,,,2,1
2016,Mojave,2.5,4,Shrub,2.9,2.8,1.5,11,4
2016,Mojave,2.5,4,Open,,,,2,2
2016,Mojave,2.5,5,Shrub,2.4,2.5,1.5,29,3
2016,Mojave,2.5,5,Open,,,,16,4
2016,Mojave,2.5,6,Shrub,2.9,1.8,1.8,32,4
2016,Mojave,2.5,6,Open,,,,7,4
2016,Mojave,2.5,7,Shrub,1.8,1.7,1.5,31,5
2016,Mojave,2.5,7,Open,,,,3,2
2016,Mojave,2.5,8,Shrub,2.7,2.1,1.4,39,3
2016,Mojave,2.5,8,Open,,,,9,3
2016,Mojave,2.5,9,Shrub,2.3,1.4,1.2,39,4
2016,Mojave,2.5,9,Open,,,,8,2
2016,Mojave,2.5,10,Shrub,2.7,2.8,1.7,25,4
2016,Mojave,2.5,10,Open,,,,0,0
2016,Mojave,2.5,11,Shrub,3.7,1.8,2,47,3
2016,Mojave,2.5,11,Open,,,,1,1
2016,Mojave,2.5,12,Shrub,2.2,1.3,1.2,41,5
2016,Mojave,2.5,12,Open,,,,1,1
2016,Mojave,2.5,13,Shrub,1.8,1.8,1.5,17,4
2016,Mojave,2.5,13,Open,,,,16,4
2016,Mojave,2.5,14,Shrub,1.6,1.4,1.5,23,4
2016,Mojave,2.5,14,Open,,,,10,2
2016,Mojave,2.5,15,Shrub,2.9,1.8,1.5,34,6
2016,Mojave,2.5,15,Open,,,,10,3
2016,Mojave,2.5,16,Shrub,1.2,1.6,1.3,29,5
2016,Mojave,2.5,16,Open,,,,14,3
2016,Mojave,2.5,17,Shrub,1.4,1.4,1.4,29,6
2016,Mojave,2.5,17,Open,,,,3,2
2016,Mojave,2.5,18,Shrub,2.4,3.3,1.5,54,3
2016,Mojave,2.5,18,Open,,,,0,0
2016,Mojave,2.5,19,Shrub,3.4,2.8,1.3,37,5
2016,Mojave,2.5,19,Open,,,,14,3
2016,Mojave,2.5,20,Shrub,1.9,1.8,1.5,35,6
2016,Mojave,2.5,20,Open,,,,18,5
2016,Mojave,2.5,21,Shrub,2.4,3.2,1.2,32,4
2016,Mojave,2.5,21,Open,,,,0,0
2016,Mojave,2.5,22,Shrub,3.2,1.7,1.5,28,6
2016,Mojave,2.5,22,Open,,,,6,2
2016,Mojave,2.5,23,Shrub,1.6,1.9,1.5,18,4
2016,Mojave,2.5,23,Open,,,,18,1
2016,Mojave,2.5,24,Shrub,1.7,1.5,1.6,12,4
2016,Mojave,2.5,24,Open,,,,47,4
2016,Mojave,2.5,25,Shrub,1.8,1.9,1.9,58,4
2016,Mojave,2.5,25,Open,,,,24,3
2016,Mojave,2.5,26,Shrub,1.8,1.8,1,31,3
2016,Mojave,2.5,26,Open,,,,1,1
